Order_ID,Order_Date,Customer_ID,Product_Category,Sub_Category,Sales,Quantity,Profit,Discount
ORD00001,2025-03-05,CUST0045,Technology,Laptops,2519.29,6,304.55,0.25
ORD00002,2025-11-18,CUST0010,Technology,Phones,2519.13,6,286.9,0.15
ORD00003,2024-03-16,CUST0068,Office Supplies,Binders,857.44,5,262.4,0.05
ORD00004,2025-09-18,CUST0029,Technology,Monitors,2911.63,7,432.24,0.25
ORD00005,2024-04-28,CUST0066,Accessories,Headsets,276.31,1,34.61,0.1
ORD00006,2025-06-01,CUST0118,Office Supplies,Labels,611.12,4,98.44,0.1
ORD00007,2025-10-14,CUST0120,Furniture,Tables,341.95,3,45.49,0.0
ORD00008,2025-07-12,CUST0071,Accessories,Mice,232.68,1,25.32,0.1
ORD00009,2025-01-01,CUST0072,Accessories,Keyboards,590.18,2,64.42,0.15
ORD00010,2024-06-15,CUST0044,Office Supplies,Paper,422.0,7,55.42,0.1
ORD00011,2024-09-30,CUST0027,Furniture,Tables,258.71,2,18.62,0.05
ORD00012,2024-11-08,CUST0093,Accessories,Headsets,1766.64,7,212.62,0.1
ORD00013,2024-12-25,CUST0053,Technology,Monitors,1118.05,6,252.93,0.0
ORD00014,2025-08-17,CUST0108,Accessories,Mice,311.48,3,49.19,0.15
ORD00015,2025-08-13,CUST0090,Furniture,Storage,678.63,2,31.88,0.2
ORD00016,2025-01-07,CUST0080,Accessories,Mice,660.83,4,119.48,0.0
ORD00017,2025-11-13,CUST0090,Furniture,Bookcases,996.78,4,-6.1,0.25
ORD00018,2025-09-22,CUST0103,Office Supplies,Paper,440.88,5,42.46,0.15
ORD00019,2025-04-21,CUST0006,Office Supplies,Labels,607.32,4,96.34,0.25
ORD00020,2024-04-05,CUST0095,Technology,Monitors,2524.43,7,671.07,0.05
ORD00021,2025-09-17,CUST0118,Technology,Printers,2732.43,7,304.59,0.25
ORD00022,2024-05-31,CUST0031,Furniture,Tables,1283.86,6,158.08,0.15
ORD00023,2024-02-21,CUST0108,Office Supplies,Envelopes,829.19,5,103.23,0.25
ORD00024,2025-03-29,CUST0012,Office Supplies,Labels,794.01,5,122.6,0.15
ORD00025,2025-04-05,CUST0009,Office Supplies,Envelopes,401.57,3,58.71,0.15
ORD00026,2024-10-19,CUST0093,Technology,Laptops,1391.01,2,238.03,0.05
ORD00027,2024-03-06,CUST0032,Technology,Phones,2994.42,4,419.34,0.15
ORD00028,2025-08-12,CUST0031,Office Supplies,Binders,669.09,4,103.06,0.15
ORD00029,2025-05-14,CUST0074,Office Supplies,Paper,357.38,2,56.4,0.15
ORD00030,2025-09-29,CUST0117,Office Supplies,Paper,433.09,5,64.81,0.25
ORD00031,2024-02-21,CUST0028,Accessories,Mice,724.33,3,124.48,0.15
ORD00032,2024-09-15,CUST0067,Accessories,Webcams,1059.03,7,240.55,0.1
ORD00033,2024-02-01,CUST0092,Technology,Laptops,840.25,2,74.28,0.25
ORD00034,2025-12-17,CUST0070,Accessories,Webcams,378.14,3,89.71,0.0
ORD00035,2024-04-20,CUST0006,Technology,Monitors,1254.64,5,77.05,0.15
ORD00036,2024-04-14,CUST0008,Technology,Phones,3851.84,6,522.46,0.2
ORD00037,2025-11-08,CUST0001,Furniture,Storage,687.57,3,68.53,0.15
ORD00038,2025-12-25,CUST0057,Accessories,Webcams,308.98,2,15.72,0.2
ORD00039,2024-11-26,CUST0034,Furniture,Bookcases,1769.63,7,194.19,0.15
ORD00040,2024-01-30,CUST0075,Office Supplies,Labels,522.56,4,92.51,0.1
ORD00041,2025-07-23,CUST0055,Office Supplies,Labels,178.54,1,18.41,0.2
ORD00042,2025-04-03,CUST0087,Office Supplies,Envelopes,931.55,7,104.59,0.25
ORD00043,2025-03-11,CUST0112,Furniture,Bookcases,1274.12,6,130.73,0.05
ORD00044,2025-07-02,CUST0086,Technology,Laptops,935.39,7,104.16,0.2
ORD00045,2024-04-12,CUST0059,Furniture,Bookcases,1408.76,7,40.06,0.2
ORD00046,2025-07-20,CUST0056,Technology,Laptops,1986.22,3,497.87,0.0
ORD00047,2024-12-14,CUST0042,Furniture,Storage,719.36,2,79.34,0.0
ORD00048,2024-06-04,CUST0038,Technology,Laptops,1027.12,2,145.79,0.2
ORD00049,2025-06-19,CUST0078,Office Supplies,Paper,594.27,4,156.96,0.1
ORD00050,2024-07-31,CUST0043,Technology,Laptops,3064.64,6,574.42,0.0
ORD00051,2024-10-25,CUST0005,Furniture,Storage,300.76,1,17.12,0.25
ORD00052,2025-03-11,CUST0015,Technology,Phones,606.28,1,139.92,0.0
ORD00053,2025-03-25,CUST0078,Office Supplies,Labels,166.36,1,24.26,0.2
ORD00054,2025-03-18,CUST0113,Technology,Laptops,2116.21,6,192.16,0.2
ORD00055,2025-08-13,CUST0059,Technology,Monitors,419.21,1,91.33,0.1
ORD00056,2024-04-03,CUST0117,Office Supplies,Envelopes,366.27,4,88.31,0.1
ORD00057,2025-07-17,CUST0044,Furniture,Storage,288.93,1,5.73,0.15
ORD00058,2025-11-04,CUST0087,Office Supplies,Binders,1068.56,7,141.91,0.15
ORD00059,2024-09-30,CUST0049,Office Supplies,Paper,790.85,5,254.75,0.0
ORD00060,2025-12-27,CUST0005,Office Supplies,Paper,337.94,2,84.89,0.0
ORD00061,2025-05-25,CUST0039,Technology,Phones,3135.52,6,415.91,0.15
ORD00062,2024-07-14,CUST0039,Office Supplies,Envelopes,873.57,5,217.75,0.15
ORD00063,2024-01-03,CUST0052,Office Supplies,Labels,105.34,3,26.51,0.05
ORD00064,2025-07-19,CUST0119,Furniture,Bookcases,1814.07,7,47.61,0.25
ORD00065,2024-02-14,CUST0037,Furniture,Storage,1213.27,3,9.45,0.25
ORD00066,2025-05-22,CUST0016,Office Supplies,Paper,113.62,1,20.69,0.15
ORD00067,2024-05-27,CUST0093,Accessories,Keyboards,762.99,4,148.59,0.1
ORD00068,2024-12-02,CUST0116,Office Supplies,Binders,961.77,7,225.84,0.15
ORD00069,2024-08-28,CUST0047,Technology,Laptops,3052.08,6,759.88,0.0
ORD00070,2025-03-30,CUST0071,Office Supplies,Binders,260.97,2,38.98,0.1
ORD00071,2025-06-27,CUST0108,Furniture,Tables,1909.26,4,171.96,0.15
ORD00072,2024-08-25,CUST0051,Technology,Phones,2495.09,4,357.08,0.15
ORD00073,2024-03-16,CUST0037,Office Supplies,Paper,764.97,4,96.0,0.25
ORD00074,2025-01-28,CUST0111,Office Supplies,Paper,738.65,7,120.0,0.25
ORD00075,2024-10-08,CUST0061,Accessories,Webcams,236.18,1,5.72,0.2
ORD00076,2024-08-23,CUST0058,Office Supplies,Labels,734.63,5,46.92,0.25
ORD00077,2025-10-05,CUST0030,Office Supplies,Paper,143.4,1,20.19,0.2
ORD00078,2024-11-30,CUST0014,Technology,Monitors,2333.58,6,374.39,0.1
ORD00079,2024-09-20,CUST0012,Accessories,Mice,1238.42,7,313.51,0.0
ORD00080,2025-11-23,CUST0080,Technology,Phones,2977.08,6,737.34,0.0
ORD00081,2025-04-10,CUST0066,Technology,Laptops,1581.11,3,329.94,0.1
ORD00082,2025-09-26,CUST0103,Technology,Laptops,2105.49,5,215.6,0.15
ORD00083,2024-04-29,CUST0043,Furniture,Storage,1141.98,2,58.74,0.05
ORD00084,2025-01-14,CUST0036,Technology,Printers,3756.46,6,685.17,0.25
ORD00085,2025-05-16,CUST0101,Furniture,Chairs,2603.2,5,308.05,0.15
